book_id,cont,itemcf,pop,svd,hybrid_score
1,0.0,0.0,4.24,0.0,0.42400000000000004
2,0.0,0.0,4.31,0.0,0.431
3,0.0,0.0,3.12,0.0,0.31200000000000006
4,0.0,0.0,4.28,0.0,0.42800000000000005
5,0.0,0.0,3.7,0.0,0.37000000000000005
6,0.0,0.0,4.15,0.0,0.41500000000000004
7,0.0,0.0,4.1,0.0,0.41
8,0.0,0.0,3.63,0.0,0.363
9,0.0,0.0,3.53,0.0,0.353
10,0.0,0.0,4.13,0.0,0.41300000000000003
11,0.0,0.0,4.12,0.0,0.41200000000000003
12,0.0,0.0,3.99,0.0,0.399
13,0.0,0.0,4.0,0.0,0.4
14,0.0,0.0,3.77,0.0,0.377
15,0.0,0.0,4.0,0.0,0.4
16,0.0,0.0,3.93,0.0,0.393
17,0.0,0.0,4.1,0.0,0.41
18,0.0,0.0,4.4,0.0,0.44000000000000006
19,0.0,0.0,4.24,0.0,0.42400000000000004
20,0.0,0.0,3.8,0.0,0.38
21,0.0,0.0,4.33,0.0,0.43300000000000005
22,0.0,0.0,3.57,0.0,0.357
23,0.0,0.0,4.19,0.0,0.41900000000000004
24,0.0,0.0,4.41,0.0,0.44100000000000006
25,0.0,0.0,4.51,0.0,0.451
26,0.0,0.0,3.56,0.0,0.35600000000000004
27,0.0,0.0,4.42,0.0,0.442
28,0.0,0.0,3.61,0.0,0.361
29,0.0,0.0,3.66,0.0,0.36600000000000005
30,0.0,0.0,3.86,0.0,0.386
31,0.0,0.0,4.36,0.0,0.43600000000000005
32,0.0,0.0,3.8,0.0,0.38
33,0.0,0.0,3.96,0.0,0.396
34,0.0,0.0,2.98,0.0,0.298
35,0.0,0.0,3.52,0.0,0.35200000000000004
36,0.0,0.0,4.03,0.0,0.403
37,0.0,0.0,4.06,0.0,0.40599999999999997
38,0.0,0.0,3.8,0.0,0.38
39,0.0,0.0,4.31,0.0,0.431
40,0.0,0.0,3.18,0.0,0.31800000000000006
42,0.0,0.0,3.95,0.0,0.395
43,0.0,0.0,3.99,0.0,0.399
45,0.0,0.0,3.78,0.0,0.378
46,0.0,0.0,3.91,0.0,0.391
47,0.0,0.0,4.28,0.0,0.42800000000000005
48,0.0,0.0,3.89,0.0,0.389
49,0.0,0.0,3.15,0.0,0.315
50,0.0,0.0,4.28,0.0,0.42800000000000005
52,0.0,0.0,3.31,0.0,0.331
54,0.0,0.0,4.07,0.0,0.40700000000000003
55,0.0,0.0,3.84,0.0,0.384
56,0.0,0.0,3.28,0.0,0.328
57,0.0,0.0,3.88,0.0,0.388
58,0.0,0.0,3.78,0.0,0.378
59,0.0,0.0,4.07,0.0,0.40700000000000003
60,0.0,0.0,3.74,0.0,0.37400000000000005
61,0.0,0.0,3.66,0.0,0.36600000000000005
62,0.0,0.0,3.84,0.0,0.384
63,0.0,0.0,3.67,0.0,0.367
65,0.0,0.0,3.98,0.0,0.398
69,0.0,0.0,3.81,0.0,0.381
70,0.0,0.0,4.22,0.0,0.422
71,0.0,0.0,3.67,0.0,0.367
82,0.6030165935698588,0.6666666666666667,0.0,0.205404305115783,0.40913004806996583
101,0.5714326642791046,0.0,0.0,0.0,0.057143266427910455
106,0.7436853373328547,0.0,0.0,0.0,0.07436853373328547
117,0.0,0.0,4.0,0.0,0.4
131,0.5809933644126584,0.0,0.0,0.0,0.05809933644126584
138,0.0,0.0,3.28,0.0,0.328
172,0.7592347838338802,0.0,0.0,0.0,0.07592347838338803
179,0.6640725667963188,0.0,0.0,0.0,0.06640725667963188
190,0.0,0.0,0.0,0.22410850219330758,0.08964340087732303
238,0.8149793085667223,0.0,0.0,0.0,0.08149793085667223
260,0.6734815930526625,0.0,0.0,0.0,0.06734815930526626
261,0.5713589457334105,0.0,0.0,0.0,0.057135894573341055
285,0.0,0.0,0.0,0.3724599245626843,0.14898396982507373
290,0.702566091118445,0.0,0.0,0.0,0.0702566091118445
316,0.6539976052043142,0.0,0.0,0.0,0.06539976052043142
331,0.6301936094468867,0.0,0.0,0.0,0.06301936094468867
352,0.732895009913203,0.0,0.0,0.0,0.0732895009913203
380,0.7992015102062768,0.16666666666666674,0.0,0.36986842702893785,0.2945341884988695
385,0.5942620837293149,0.0,0.0,0.0,0.05942620837293149
398,0.9358901835266955,0.0,0.0,0.0,0.09358901835266956
426,0.7360524738828433,0.0,0.0,0.0,0.07360524738828433
430,0.8829184374338832,0.0,0.0,0.0,0.08829184374338833
467,0.6537508006070549,0.0,0.0,0.0,0.0653750800607055
485,0.7467221267251649,0.0,0.0,0.0,0.07467221267251649
495,0.5602362239131684,0.0,0.0,0.0,0.05602362239131684
498,0.8166298900949234,0.0,0.0,0.0,0.08166298900949234
516,0.7560031992371381,0.0,0.0,0.0,0.07560031992371381
537,0.678003660036854,0.0,0.0,0.0,0.0678003660036854
550,0.5519988441836787,0.0,0.0,0.0,0.05519988441836787
592,0.7128363365179169,0.0,0.0,0.0,0.07128363365179169
604,0.5602362239131684,0.0,0.0,0.0,0.05602362239131684
617,0.6129045815045837,0.0,0.0,0.0,0.061290458150458374
638,0.6486180841905407,0.0,0.0,0.0,0.06486180841905408
649,0.734433815296955,0.0,0.0,0.0,0.0734433815296955
654,0.574432980221621,0.0,0.0,0.0,0.05744329802216211
659,0.6563156162635582,0.0,0.0,0.0,0.06563156162635582
669,0.6627151762906172,0.0,0.0,0.0,0.06627151762906172
691,0.9239463333681481,0.0,0.0,0.0,0.09239463333681482
710,0.0,0.0,0.0,0.0,0.0
719,0.6561455063525712,0.0,0.0,0.0,0.06561455063525712
744,0.6593268722824297,0.0,0.0,0.0,0.06593268722824297
757,0.600826729312099,0.0,0.0,0.0,0.060082672931209904
758,0.5842203795370071,0.0,0.0,0.0,0.05842203795370071
800,0.7290847986850653,0.0,0.0,0.0,0.07290847986850653
816,0.5779255608667317,0.0,0.0,0.0,0.05779255608667318
820,0.5708245697357286,0.0,0.0,0.0,0.057082456973572865
822,0.5883028909569676,0.0,0.0,0.0,0.058830289095696764
